id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
539	13th usenix symposium on networked systems design and implementation (nsdi '16)	0.5178	0.2707	2	375	1934	57
2783	2014 ieee world forum on internet of things (wf-iot)	0.3233	-0.3217	2	564	5044	97
2832	2014 international conference on future internet of things and cloud (ficloud)	0.5197	-0.5023	2	517	5252	85
3084	2015 ieee 2nd world forum on internet of things (wf-iot)	0.3975	-0.3255	2	626	9009	145
3104	2015 ieee 8th international conference on cloud computing	0.703	-0.1348	2	498	3941	74
3119	2015 ieee conference on computer communications (infocom). proceedings	0.8345	0.032	2	535	5835	126
3171	2015 ieee international conference on pervasive computing and communication workshops (percom workshops)	0.5614	-0.2913	2	459	3613	60
3388	2015 third ieee workshop on hot topics in web systems and technologies (hotweb)	0.5551	-0.3753	2	565	5951	101
3471	2016 23rd international conference on telecommunications (ict)	0.684	-0.188	2	535	4921	88
3585	2016 first ieee/acm symposium on edge computing (sec 2016)	0.8039	-0.0911	2	569	10530	121
3624	2016 ieee 3rd world forum on internet of things (wf-iot)	0.1129	-0.2352	2	582	5191	110
3656	2016 ieee conference on computer communications: workshops (infocom wkshps)	0.9961	-0.3166	2	361	2685	50
3729	2016 ieee international conference on smart cloud (smartcloud)	0.4402	-0.2142	2	557	4481	90
4195	2017 global internet of things summit (giots 2017)	0.3401	-0.3674	2	615	7761	114
4223	2017 ieee 1st international conference on edge computing (ieee edge)	0.8859	-0.42	2	576	8743	166
4224	2017 ieee 1st international conference on fog and edge computing (icfec)	0.9188	-0.5621	2	509	9359	121
4243	2017 ieee 28th annual international symposium on personal	0.7948	-0.2413	2	574	6295	103
4465	2017 ifip/ieee symposium on integrated network and service management (im)	0.673	-0.4811	2	554	6072	98
4642	2017 second international conference on fog and mobile edge computing (fmec)	0.8442	-0.6312	2	545	8070	129
5055	2018 ieee 4th world forum on internet of things (wf-iot)	0.5247	-0.4263	2	550	5938	104
5117	2018 ieee int c comm	1.2056	-0.3871	2	437	3855	62
5163	2018 ieee international conference on edge computing (ieee edge)	0.7354	-0.0282	2	581	7646	140
5224	2018 ieee smartworld	0.4736	-0.0128	2	548	4878	65
5443	2018 third ieee/acm symposium on edge computing (sec)	0.6792	0.2382	2	669	18976	297
5445	2018 third international conference on fog and mobile edge computing (fmec)	0.8699	-0.5984	2	451	4889	61
5831	2019 ieee 5th world forum on internet of things (wf-iot)	-0.0414	-0.4815	1	488	3323	73
5914	2019 ieee international conference on blockchain (blockchain 2019)	0.2099	-0.8009	2	465	4597	81
5923	2019 ieee international conference on edge computing (ieee edge)	0.584	-0.1571	2	532	4738	89
5950	2019 ieee international conference on web services (ieee icws 2019)	1.1127	0.0008	2	396	3150	79
7241	2021 ieee/cvf international conference on computer vision (iccv 2021)	-0.3266	1.0024	3	432	5799	89
10546	aaai conf artif inte	0.0499	0.8571	3	722	46237	814
10604	about us	-0.1337	-0.0301	2	699	26270	567
10746	accident anal prev	-0.4475	0.2476	1	385	4292	65
10802	acm comput surv	0.2991	-0.0655	2	757	134434	2073
10868	acm j emerg tech com	-0.5963	0.5448	3	463	3262	54
10900	acm s theory comput	0.4213	0.3552	2	450	3297	62
10921	acm sigcomm comp com	0.6176	-0.0557	2	729	38890	839
10971	acm sigplan notices	0.1837	0.524	2	675	13776	258
10995	acm t comput syst	0.6573	-0.0814	2	494	4181	105
11002	acm t embed comput s	-0.3067	0.4048	3	695	14700	258
11005	acm t graphic	-0.272	0.6047	3	391	3002	59
11012	acm t intel syst tec	0.1429	0.607	3	716	21222	374
11015	acm t internet techn	0.4547	-0.5734	2	712	27487	496
11016	acm t internet thing	0.0224	0.0017	1	539	5426	77
11017	acm t knowl discov d	-0.1694	0.2601	1	446	2584	64
11020	acm t multim comput	0.1302	0.4042	1	643	9547	175
11028	acm t sensor network	0.2288	0.2332	2	693	15930	380
11037	acm trans cyber-phys	-0.0717	0.0877	1	565	4728	80
11149	acs appl mater inter	-1.4556	0.71	3	295	6495	94
11156	acs nano	-1.3842	0.6701	3	379	9338	124
11165	acsis-ann comput sci	0.5579	-0.481	2	555	6314	104
11299	ad hoc netw	0.1892	-0.5229	1	750	54958	1068
11329	adapt comput mach le	0.5159	0.7305	4	661	15428	294
11489	adv comput	-0.1193	-0.3341	1	534	3992	67
11556	adv electron mater	-1.4057	0.8221	3	190	3466	64
