#;nome-taxon;autoria;ano;ordem;subordem;infraordem;parvordem;superfamilia;familia;subfamilia;genero;especie;nome_vernaculo
4435;Parkesia motacilla;Vieillot;1809;Passeriformes;Passeri;;Passerida;;Parulidae;;Parkesia;motacilla;abana-rabo-da-serra
4434;Parkesia noveboracensis;Gmelin;1789;Passeriformes;Passeri;;Passerida;;Parulidae;;Parkesia;noveboracensis;abana-rabo-de-baixada
3430;Mionectes oleagineus;Lichtenstein;1823;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Mionectes;oleagineus;abre-asa
3433;Mionectes macconnelli;Chubb;1919;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Mionectes;macconnelli;abre-asa-da-mata
3435;Mionectes rufiventris;Cabanis;1846;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Mionectes;rufiventris;abre-asa-de-cabeça-cinza
3429;Mionectes amazonus;Todd;1921;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Mionectes;amazonus;abre-asa-do-acre
3432;Mionectes roraimae;Chubb;1919;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Mionectes;roraimae;abre-asa-do-tepui
1851;Herpetotheres cachinnans;Linnaeus;1758;Falconiformes;;;;;Falconidae;Herpetotherinae;Herpetotheres;cachinnans;acauã
3046;Acrobatornis fonsecai;Pacheco, Whitney & Gonzaga;1996;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Acrobatornis;fonsecai;acrobata
416;Hydropsalis climacocerca;Tschudi;1844;Caprimulgiformes;;;;;Caprimulgidae;;Hydropsalis;climacocerca;acurana
924;Thinocorus rumicivorus;Eschscholtz;1829;Charadriiformes;Scolopaci;;;;Thinocoridae;;Thinocorus;rumicivorus;agachadeira-mirim
1355;Urubitinga coronata;Vieillot;1817;Accipitriformes;;;;;Accipitridae;Accipitrininae;Urubitinga;coronata;águia-cinzenta
